condition,seed,prompt_name,n_essays,qwk
NS_s13,13.0,Seeking multiple opinions,331,0.7355205811138015
NS_s13,13.0,Summer projects,172,0.7387284255019373
NS_s13,13.0,The Face on Mars,160,0.7760447910417916
TS_s13,13.0,"""A Cowboy Who Rode the Waves""",127,0.744825008177188
TS_s13,13.0,Car-free cities,190,0.8166253039532727
TS_s13,13.0,Cell phones at school,152,0.7267041901188243
TS_s13,13.0,Community service,142,0.6323248841646225
TS_s13,13.0,Distance learning,288,0.8402496099843993
TS_s13,13.0,Does the electoral college work?,356,0.763220418557669
TS_s13,13.0,Driverless cars,295,0.6940440783954853
TS_s13,13.0,Exploring Venus,196,0.8209413369713506
TS_s13,13.0,Facial action coding system,220,0.7832207207207207
TS_s13,13.0,Grades for extracurricular activities,175,0.7633002705139765
TS_s13,13.0,Mandatory extracurricular activities,177,0.7961435577351761
TS_s13,13.0,Phones and driving,138,0.7628226730471119
TS_s13,13.0,Seeking multiple opinions,331,0.7391861695872046
TS_s13,13.0,Summer projects,172,0.6845868152274838
TS_s13,13.0,The Face on Mars,160,0.7706868577609518
NS_s21,21.0,"""A Cowboy Who Rode the Waves""",127,0.8155539939095807
NS_s21,21.0,Car-free cities,190,0.7900958975877542
NS_s21,21.0,Cell phones at school,152,0.6789208419804329
NS_s21,21.0,Community service,142,0.6721956224350205
NS_s21,21.0,Distance learning,288,0.8524136517372143
NS_s21,21.0,Does the electoral college work?,356,0.7308176590469515
NS_s21,21.0,Driverless cars,295,0.7472484017662953
NS_s21,21.0,Exploring Venus,196,0.7781651085406434
NS_s21,21.0,Facial action coding system,220,0.7746704666904167
NS_s21,21.0,Grades for extracurricular activities,175,0.7057430432208407
NS_s21,21.0,Mandatory extracurricular activities,177,0.8065170995783666
NS_s21,21.0,Phones and driving,138,0.7134407248930279
NS_s21,21.0,Seeking multiple opinions,331,0.7381685144672279
NS_s21,21.0,Summer projects,172,0.7447180024445609
NS_s21,21.0,The Face on Mars,160,0.7901018623315156
TS_s21,21.0,"""A Cowboy Who Rode the Waves""",127,0.7615247394610835
TS_s21,21.0,Car-free cities,190,0.795181629020532
TS_s21,21.0,Cell phones at school,152,0.7320589157004074
TS_s21,21.0,Community service,142,0.6242712350883488
TS_s21,21.0,Distance learning,288,0.8458800125641295
TS_s21,21.0,Does the electoral college work?,356,0.7669332578384882
TS_s21,21.0,Driverless cars,295,0.7049186783759304
TS_s21,21.0,Exploring Venus,196,0.8018981880931838
TS_s21,21.0,Facial action coding system,220,0.7932928592078635
TS_s21,21.0,Grades for extracurricular activities,175,0.7396302975653741
TS_s21,21.0,Mandatory extracurricular activities,177,0.7895440865009475
TS_s21,21.0,Phones and driving,138,0.7635239567233385
TS_s21,21.0,Seeking multiple opinions,331,0.7491840740807036
TS_s21,21.0,Summer projects,172,0.6718441371880051
TS_s21,21.0,The Face on Mars,160,0.750111557340473
NS_s42,42.0,"""A Cowboy Who Rode the Waves""",127,0.7962246342614441
NS_s42,42.0,Car-free cities,190,0.7987333986377201
NS_s42,42.0,Cell phones at school,152,0.6832407136589645
NS_s42,42.0,Community service,142,0.6600016802486768
NS_s42,42.0,Distance learning,288,0.8473504096235611
NS_s42,42.0,Does the electoral college work?,356,0.7384718402798094
NS_s42,42.0,Driverless cars,295,0.7840320464120449
NS_s42,42.0,Exploring Venus,196,0.7799301365512862
NS_s42,42.0,Facial action coding system,220,0.7774170595036911
NS_s42,42.0,Grades for extracurricular activities,175,0.694618686034995
NS_s42,42.0,Mandatory extracurricular activities,177,0.8115213406650956
NS_s42,42.0,Phones and driving,138,0.708263933376041
NS_s42,42.0,Seeking multiple opinions,331,0.7401224800396188
NS_s42,42.0,Summer projects,172,0.7504331254331255
NS_s42,42.0,The Face on Mars,160,0.7885749136003253
TS_s42,42.0,"""A Cowboy Who Rode the Waves""",127,0.7417600605286803
TS_s42,42.0,Car-free cities,190,0.7873801470027213
TS_s42,42.0,Cell phones at school,152,0.7001262626262625
TS_s42,42.0,Community service,142,0.6330422384601675
TS_s42,42.0,Distance learning,288,0.8404701931150294
TS_s42,42.0,Does the electoral college work?,356,0.7566002663608976
TS_s42,42.0,Driverless cars,295,0.6949038803142147
TS_s42,42.0,Exploring Venus,196,0.8057915727414601
TS_s42,42.0,Facial action coding system,220,0.7807933194154488
TS_s42,42.0,Grades for extracurricular activities,175,0.7447548524626949
TS_s42,42.0,Mandatory extracurricular activities,177,0.7854297754430526
TS_s42,42.0,Phones and driving,138,0.7742237061769616
TS_s42,42.0,Seeking multiple opinions,331,0.7588490030482652
TS_s42,42.0,Summer projects,172,0.6768381021369069
TS_s42,42.0,The Face on Mars,160,0.7830940988835726
NS_s87,87.0,"""A Cowboy Who Rode the Waves""",127,0.8071418710597764
NS_s87,87.0,Car-free cities,190,0.8164016112883321
NS_s87,87.0,Cell phones at school,152,0.6404657933042213
NS_s87,87.0,Community service,142,0.6681135225375626
NS_s87,87.0,Distance learning,288,0.8408376963350785
NS_s87,87.0,Does the electoral college work?,356,0.7352803543612458
NS_s87,87.0,Driverless cars,295,0.7522447168072104
NS_s87,87.0,Exploring Venus,196,0.7830508474576271
NS_s87,87.0,Facial action coding system,220,0.7788203753351207
NS_s87,87.0,Grades for extracurricular activities,175,0.7088047922411334
NS_s87,87.0,Mandatory extracurricular activities,177,0.8035100703071312
NS_s87,87.0,Phones and driving,138,0.7137671765620949
NS_s87,87.0,Seeking multiple opinions,331,0.7122946285839326
NS_s87,87.0,Summer projects,172,0.7521723709877638
NS_s87,87.0,The Face on Mars,160,0.7871272216085953
TS_s87,87.0,"""A Cowboy Who Rode the Waves""",127,0.728816849461322
TS_s87,87.0,Car-free cities,190,0.7964674522308861
TS_s87,87.0,Cell phones at school,152,0.7208502657080338
TS_s87,87.0,Community service,142,0.6669616780246039
TS_s87,87.0,Distance learning,288,0.8420615128844555
TS_s87,87.0,Does the electoral college work?,356,0.7638185249833255
TS_s87,87.0,Driverless cars,295,0.6941813788534237
TS_s87,87.0,Exploring Venus,196,0.8
TS_s87,87.0,Facial action coding system,220,0.782608695652174
TS_s87,87.0,Grades for extracurricular activities,175,0.7444796369926096
TS_s87,87.0,Mandatory extracurricular activities,177,0.7906124785346308
TS_s87,87.0,Phones and driving,138,0.7612132727149352
TS_s87,87.0,Seeking multiple opinions,331,0.7507869977886992
TS_s87,87.0,Summer projects,172,0.6662100456621005
TS_s87,87.0,The Face on Mars,160,0.7647553035076664
NS_s101,101.0,"""A Cowboy Who Rode the Waves""",127,0.8161225538274719
NS_s101,101.0,Car-free cities,190,0.7895174132797895
NS_s101,101.0,Cell phones at school,152,0.6646724498953036
NS_s101,101.0,Community service,142,0.6395939086294417
NS_s101,101.0,Distance learning,288,0.8391042919344806
NS_s101,101.0,Does the electoral college work?,356,0.7391388187199908
NS_s101,101.0,Driverless cars,295,0.7814294939333175
NS_s101,101.0,Exploring Venus,196,0.7913461538461538
NS_s101,101.0,Facial action coding system,220,0.773972602739726
NS_s101,101.0,Grades for extracurricular activities,175,0.7027881303958108
NS_s101,101.0,Mandatory extracurricular activities,177,0.7997702709758263
NS_s101,101.0,Phones and driving,138,0.727585328578706
NS_s101,101.0,Seeking multiple opinions,331,0.7213990299316351
NS_s101,101.0,Summer projects,172,0.7541979278313683
NS_s101,101.0,The Face on Mars,160,0.7782658717707353
TS_s101,101.0,"""A Cowboy Who Rode the Waves""",127,0.7336764846058527
TS_s101,101.0,Car-free cities,190,0.7959467313572385
TS_s101,101.0,Cell phones at school,152,0.7392389270118528
TS_s101,101.0,Community service,142,0.6582278481012658
TS_s101,101.0,Distance learning,288,0.8365999587373634
TS_s101,101.0,Does the electoral college work?,356,0.7701997146932953
TS_s101,101.0,Driverless cars,295,0.6997808047596681
TS_s101,101.0,Exploring Venus,196,0.7892004153686396
TS_s101,101.0,Facial action coding system,220,0.7864333652924257
TS_s101,101.0,Grades for extracurricular activities,175,0.7454429746806672
TS_s101,101.0,Mandatory extracurricular activities,177,0.7990532817641287
TS_s101,101.0,Phones and driving,138,0.765242242787153
TS_s101,101.0,Seeking multiple opinions,331,0.7424214942279901
TS_s101,101.0,Summer projects,172,0.6719669117647058
TS_s101,101.0,The Face on Mars,160,0.7489816140041836
