essay_id,split
565996115212010thLitAB,train
5.56149E+12,train
4.55022E+12,train
5.1601E+12,validation
4.70314E+12,validation
5.78953E+12,validation
5.50064E+12,validation
5.52276E+12,train
5.64166E+12,train
5.83594E+12,validation
5.09116E+12,train
5.49717E+12,train
5.31974E+12,validation
5.08904E+12,validation
5.71454E+12,train
5.8887E+12,train
5.33069E+12,train
5.30426E+12,validation
5.99738E+12,train
6.00744E+12,train
5.63154E+12,validation
5.30183E+12,validation
5.40408E+12,train
5.53992E+12,train
5.39157E+12,validation
5.6503E+12,train
5.3883E+12,train
5.47707E+12,train
5.58784E+12,train
5.96633E+12,train
5.87524E+12,train
5.07943E+12,train
5.74246E+12,validation
5.26016E+12,train
4.60236E+12,train
5.53202E+12,train
5.54692E+12,validation
5.43137E+12,train
6.0015E+12,train
525730115212010thLitAB,train
5.79156E+12,train
5.06484E+12,train
5.74698E+12,train
5.66335E+12,train
5.47484E+12,train
5.05228E+12,train
5.65497E+12,train
5.7446E+12,train
4.83455E+12,train
5.06775E+12,train
3.83538E+12,train
5.33066E+12,train
5.80054E+12,validation
5.73595E+12,validation
5.40623E+12,validation
5.33041E+12,train
5.67376E+12,train
5.99743E+12,validation
5.12022E+12,train
5.41727E+12,train
5.32016E+12,train
5.25282E+12,train
5.77327E+12,train
5.32044E+12,train
567353115212010thLitAB,train
5.34346E+12,train
5.50309E+12,train
5.65547E+12,train
5.65861E+12,train
4.71836E+12,train
5.67527E+12,train
5.52739E+12,train
5.33054E+12,train
5.40489E+12,train
5.63631E+12,train
5.36681E+12,train
5.35847E+12,train
4.95485E+12,train
5.32239E+12,train
5.72403E+12,train
5.74267E+12,train
5.65423E+12,train
5.51683E+12,train
536558115212010thLitAB,validation
5.72763E+12,validation
5.22797E+12,train
5.88473E+12,train
5.73194E+12,validation
6002021152120_cleaned,train
5.38327E+12,train
5.92557E+12,validation
5.82164E+12,train
4.81597E+12,train
5.72685E+12,train
5.32562E+12,train
5.43237E+12,validation
5.16164E+12,train
4.67918E+12,train
5.54267E+12,train
5.55361E+12,validation
5.33942E+12,train
4.71869E+12,train
5.10611E+12,train
5.05654E+12,train
5.85822E+12,train
5.38732E+12,train
5.13227E+12,train
5.27179E+12,train
4.68009E+12,train
5.08982E+12,validation
5.06439E+12,validation
5.14507E+12,validation
5.37539E+12,train
4.77232E+12,train
5.79369E+12,train
5.26044E+12,train
5.72047E+12,validation
4.93764E+12,train
5.49577E+12,train
5.76756E+12,train
6.00056E+12,validation
5.91385E+12,train
5.81707E+12,validation
5.32541E+12,train
5.62768E+12,train
5.72578E+12,train
5.09602E+12,validation
5.50594E+12,train
5.51008E+12,train
5.42915E+12,validation
4.65401E+12,train
4.68851E+12,train
5.47556E+12,train
5.37442E+12,train
5.5491E+12,train
4.9221E+12,validation
5.8248E+12,train
5.43207E+12,train
5.99709E+12,train
5.95959E+12,train
5.40879E+12,validation
5.58499E+12,train
5.53409E+12,train
5.17563E+12,train
5.45526E+12,train
4.85871E+12,train
5.43807E+12,train
5.45908E+12,validation
5.72735E+12,train
4.57012E+12,train
4.27006E+12,train
5.30193E+12,validation
5.68171E+12,train
4.96473E+12,train
5.12997E+12,train
4.30378E+12,train
5.80013E+12,train
5.81838E+12,validation
5.99832E+12,train
5.23585E+12,train
5.74719E+12,train
5.39596E+12,train
5.80328E+12,validation
5.30818E+12,validation
5.58735E+12,train
5.51086E+12,train
5.32397E+12,train
5.46919E+12,train
563047115212010thLitAB,train
4.28762E+12,validation
5.91423E+12,train
5.67825E+12,train
5.18632E+12,train
5.53385E+12,train
5.86309E+12,train
5.7472E+12,validation
5.24249E+12,train
5.35593E+12,train
5.37417E+12,train
5.53443E+12,train
5.76482E+12,train
5.8132E+12,train
5.4141E+12,train
5.10297E+12,train
5.4129E+12,train
5.76154E+12,train
5.79776E+12,train
5.30593E+12,validation
5.32078E+12,train
5.30648E+12,validation
4.31036E+12,train
4.67804E+12,train
6.00252E+12,train
5.33202E+12,validation
497776115212610thLitB,train
5.39957E+12,train
4.64031E+12,validation
5.67915E+12,train
5.29887E+12,train
4.94871E+12,train
5.4825E+12,train
5.05883E+12,train
5.80341E+12,train
567153115212010thLitAB,train
5.02051E+12,train
5.46553E+12,train
6.00704E+12,train
5.90796E+12,train
5.49985E+12,train
5.82744E+12,validation
5.88266E+12,train
4.68829E+12,train
5.82813E+12,validation
5.10758E+12,validation
5.83832E+12,train
5.94222E+12,validation
5.06399E+12,train
5.15539E+12,train
5.65522E+12,train
565942115212010thLitAB,train
4.74703E+12,train
5.46398E+12,validation
5.99671E+12,train
5.53979E+12,validation
5.41841E+12,validation
5.42745E+12,train
5.86389E+12,train
5.33783E+12,train
4.91342E+12,train
5.43463E+12,train
5.34123E+12,validation
5.07282E+12,train
5.37622E+12,validation
5.50342E+12,train
5.80126E+12,train
6.00207E+12,validation
5.86666E+12,train
532600115212610thLitBPhones&Driving,train
508606115212610thLitB,train
4.70133E+12,train
4.90472E+12,train
5.25893E+12,train
5.73548E+12,train
5.11443E+12,validation
5.42891E+12,train
4.69521E+12,train
564142115212010thLitAB,validation
5.21866E+12,validation
5.35424E+12,train
5.07917E+12,train
5.19271E+12,train
4.74937E+12,train
576452115212610thLitBPhones&Driving,train
5.7516E+12,train
5.34113E+12,train
5.81264E+12,train
5.34632E+12,train
5.7204E+12,train
5.889E+12,train
5.7399E+12,train
5.7843E+12,train
5.3814E+12,validation
5.73682E+12,train
5.74325E+12,train
5.86528E+12,train
5.32019E+12,validation
5.27296E+12,train
5.239E+12,validation
5.30911E+12,train
5.49242E+12,train
5.26214E+12,validation
5.17271E+12,train
5.43806E+12,train
5.42834E+12,train
5.71647E+12,train
5.71429E+12,validation
4.87475E+12,train
5.31268E+12,train
4.63525E+12,train
5.3667E+12,train
5.48168E+12,train
5.42358E+12,train
5.23303E+12,train
5.32795E+12,validation
5.51328E+12,train
5.63856E+12,train
5.47994E+12,validation
5.30901E+12,train
5.47613E+12,train
4.67537E+12,train
5.3396E+12,train
5.40577E+12,validation
5.41213E+12,train
5.0842E+12,validation
5.62811E+12,train
5.92901E+12,train
5.34115E+12,train
5.34057E+12,train
5.25264E+12,train
5.52779E+12,train
5.66224E+12,train
5.08238E+12,validation
5.47197E+12,train
5.3389E+12,train
5.37258E+12,validation
5.40322E+12,train
5.32125E+12,train
5.89602E+12,train
5.41998E+12,train
5.41411E+12,validation
492182115212610thLitB,train
5.06423E+12,train
5.25867E+12,validation
5.79082E+12,train
5.09268E+12,train
515850115212010thLitAB,validation
5.98894E+12,train
564159115212010thLitAB,train
4.85264E+12,train
5.41744E+12,train
5.83882E+12,train
5.51574E+12,train
5.31322E+12,train
5.33792E+12,validation
5.38595E+12,train
5.74004E+12,train
5.47201E+12,train
5.06134E+12,validation
5.73499E+12,train
5.34827E+12,train
5.83503E+12,train
5.93413E+12,train
538598115212010thLitAB,train
5.99999E+12,train
5.36026E+12,train
5.50305E+12,train
5.26171E+12,train
5.08274E+12,train
5.9295E+12,train
5.86298E+12,train
5.50184E+12,train
6.00339E+12,train
5.48778E+12,train
5.07177E+12,train
5.82999E+12,train
5.12595E+12,train
5.86914E+12,train
5.49928E+12,validation
5.76576E+12,train
5.50743E+12,train
5.27724E+12,train
5.7659E+12,train
5.33023E+12,train
5.2654E+12,train
5.65826E+12,validation
4.32701E+12,train
5.38129E+12,train
5.11314E+12,train
5.47198E+12,train
5.93196E+12,train
5.74434E+12,train
5.59929E+12,train
5.41889E+12,train
5.99189E+12,train
5.2655E+12,train
5.14405E+12,train
530234115212010thLitAB,validation
5.75176E+12,train
514535115212010thLitAB,train
5.25742E+12,validation
5.74087E+12,train
4.90828E+12,validation
5.75803E+12,train
533045115212610thLitB,train
5.66259E+12,validation
5.77352E+12,train
5.54193E+12,train
5.24436E+12,train
5.65991E+12,validation
5.64178E+12,validation
5.65822E+12,train
5.33932E+12,train
5.79784E+12,train
5.82143E+12,train
5.76217E+12,train
5.6724E+12,train
5.09614E+12,train
549090115212010thLitAB,train
5.18952E+12,train
576552115212010thLitAB,train
582297115212610thLitBPhones&Driving,train
5.7271E+12,train
4.51948E+12,train
5.94763E+12,train
5.86327E+12,validation
5.33037E+12,train
5.75004E+12,train
5.09272E+12,train
5.74864E+12,train
4.91818E+12,validation
540791115212010thLitAB,train
5.25464E+12,train
5.23413E+12,validation
515931115212610thLitB,train
550006115212010thLitAB,validation
531747115212610thLitBPhones&Driving,train
522340115212010thLitAB,train
5.06522E+12,train
5.73473E+12,train
5.06006E+12,train
5.74523E+12,train
5.33738E+12,train
5.4959E+12,train
5.4756E+12,train
5.79269E+12,validation
5.81041E+12,train
5.6031E+12,train
5.58501E+12,train
5.33976E+12,train
5.72312E+12,train
5.68098E+12,train
5.40953E+12,train
5.07515E+12,validation
5.16411E+12,train
5.64401E+12,train
5.60207E+12,train
5.07357E+12,validation
5.06481E+12,train
4.69393E+12,validation
5.00255E+12,train
4.98323E+12,train
5.43179E+12,train
5.80382E+12,train
5.81569E+12,train
5.65867E+12,train
5.39688E+12,train
5.40336E+12,train
5.47675E+12,train
5.31318E+12,train
4.64475E+12,train
5.37724E+12,train
5.79185E+12,validation
5.64181E+12,train
5.72679E+12,train
5.48852E+12,validation
5.32415E+12,train
5.72033E+12,train
5.53747E+12,validation
535966115212010thLitAB,train
5.42102E+12,train
5.62032E+12,train
5.8318E+12,train
5.40343E+12,train
5.36843E+12,train
5.37192E+12,train
4.69806E+12,train
5.24416E+12,train
5.0757E+12,validation
5.3303E+12,train
4.45502E+12,train
5.54259E+12,validation
5.73509E+12,train
5.78837E+12,train
5.64213E+12,train
524578115212010thLitAB,train
5.48158E+12,train
5.06512E+12,train
5.74083E+12,train
5.73749E+12,train
5.77097E+12,validation
5.74436E+12,train
5.65997E+12,train
4.4222E+12,train
5.42678E+12,validation
5.45149E+12,train
4.8912E+12,train
5.63408E+12,train
5.4064E+12,train
4.93292E+12,train
5.57617E+12,train
5.31669E+12,train
5.8047E+12,train
5.75427E+12,train
4.88419E+12,validation
4.57401E+12,train
5.76205E+12,train
6.0024E+12,train
5.75544E+12,train
5.73584E+12,train
4.30516E+12,validation
5.35027E+12,train
5.34352E+12,train
5.50917E+12,train
5.67194E+12,validation
5.73839E+12,train
5.49829E+12,train
5.38583E+12,train
5.56555E+12,train
5.47555E+12,train
5.36788E+12,train
5.74696E+12,train
5.2727E+12,train
5541921152126_cleaned,train
5.64198E+12,train
5.67135E+12,train
5.54932E+12,train
5.33124E+12,train
5.33403E+12,train
5.57397E+12,train
5.98728E+12,train
5.15485E+12,train
5.79557E+12,train
5.74339E+12,validation
5.48389E+12,train
5.07504E+12,train
5.34088E+12,train
5.42693E+12,train
5.89646E+12,train
4.77234E+12,train
5.22529E+12,validation
5.00417E+12,train
4.9315E+12,train
5.38716E+12,train
5.42625E+12,train
5.5387E+12,train
5.80491E+12,train
5.52935E+12,train
5.74742E+12,train
5.55024E+12,train
4.34341E+12,train
5.35667E+12,train
3.86018E+12,train
5.67902E+12,validation
4.83578E+12,train
5061211,train
5368488,train
5165517,train
5416114,train
5213047,train
5170164,train
5180976,validation
5030080,train
5212998,train
5030488,train
5359348,validation
5375848,train
5362473,train
5156660,train
5415678,train
5172337,train
5030008,validation
5355817,train
5351850,train
5172415,train
5375253,train
5023156,train
5178981,validation
5189007,train
5030067,train
5076968,train
5074873,validation
5381389,train
5026338,train
5059170,train
5035062,train
5170138,train
5161505,train
5150500,train
5031277,validation
5369351,train
5085412,train
5174303,validation
5380299,validation
5188991,train
5348810,train
5179224,train
5197056,train
5176205,validation
5085160,train
5077005,train
5177044,validation
5026830,train
5080343,train
5030069,validation
5026828,train
5196967,validation
5174474,train
5077385,validation
5057451,train
5347830,train
5031268,train
5059874,train
5076990,train
5176265,train
5299424,validation
5149227,train
5212969,train
5077111,train
5183196,train
5416146,validation
5028639,validation
5365420,train
5185231,train
5189237,train
6108776,train
5196853,train
5077401,train
5089322,train
5088125,validation
5342129,train
5188920,train
5060316,train
5185412,train
5381851,train
5156614,train
5029544,train
5076932,train
5183851,train
5415829,train
5024045,train
5161614,train
5416043,train
5189127,train
5197219,train
5156665,train
5179211,train
5267325,train
5179016,train
5376649,train
5087241,train
5054327,validation
5206007,validation
5376254,train
5028683,train
5073746,train
5172266,train
5344174,validation
5213130,train
5080158,train
5267656,train
5028628,train
5197245,validation
5029943,train
5149222,train
5206438,train
5188848,train
5215206,train
5087319,validation
5299172,train
5205866,train
5344346,train
5161726,train
5355475,train
5206296,validation
5084571,train
5085329,train
5077331,train
5354223,train
5060965,train
5297975,train
5174662,train
5172141,train
5381902,train
5380834,train
5416152,validation
5054514,validation
5420447,train
5172081,train
5341396,train
5214133,validation
5347749,train
5023642,train
5023631,validation
5297582,train
5174261,train
5170155,validation
5189317,train
5198222,train
5064713,train
5185000,train
5349898,train
5080461,train
5054551,train
5179169,train
5154069,train
5184929,train
5076890,validation
5161768,train
5031022,train
5218337,train
5352235,train
5156961,train
5308390,train
5378155,train
5379539,train
5362711,train
5030570,train
5218691,train
5206228,validation
5352080,train
5370724,train
5031741,train
5057892,validation
5057535,train
5206211,validation
5349182,train
5024974,train
5177378,train
5312982,validation
5181192,train
5153971,train
5025502,validation
5179241,train
5153720,train
5085005,train
5077096,train
5375969,train
5083556,train
5185268,train
5367520,validation
5298998,validation
5076856,train
5025086,train
5172149,train
5031739,train
5165621,train
5022018,train
5212851,train
5267434,train
5212912,train
5074983,train
5376114,validation
5161434,train
5164307,train
5074884,train
5416026,train
5196934,validation
5382160,train
5197356,validation
5083572,validation
5177371,train
5070935,train
5086676,train
5057996,validation
5174432,validation
5060019,train
5027955,train
5026224,train
5153493,train
5366472,train
5174491,validation
5368053,train
5030263,train
5164760,train
5198187,train
5080605,train
5213114,train
5181252,validation
5179063,train
5075042,train
5212833,train
5153768,validation
5267922,train
5352902,validation
5030524,train
5213231,train
5181229,validation
5179281,train
5375932,validation
5299476,train
5025570,train
5197055,train
5303441,train
5089479,validation
5206408,train
5376985,train
5380359,train
5356016,train
5212882,train
5205858,train
5420895,validation
5381463,train
5189147,train
5149435,train
5174671,train
5174575,train
5298339,train
5077271,train
5342362,train
5026142,train
5179073,train
5088107,train
5086529,train
5174238,train
5072492,train
5267507,train
5185416,validation
5084660,train
5299298,validation
5365146,train
5370612,train
5025356,train
5172147,train
5174577,validation
5185367,train
5083580,train
5171970,validation
6981625,train
5366785,train
5030097,train
5212997,train
5381331,train
5212919,train
5030494,validation
5166324,validation
5181442,validation
7068687,train
5417175,train
5174626,train
5077105,train
5344249,train
5197180,train
5362783,train
5178948,train
5069869,train
5376054,train
5185257,train
5181220,train
5077175,train
5029377,validation
5381476,train
5156858,train
5205832,train
5307314,train
5083475,train
5378203,train
5027654,train
5075162,train
5342292,validation
5161431,train
5214915,train
5061077,train
5188915,validation
5087272,train
5085284,train
5181080,train
5080406,validation
5215857,validation
5313186,train
5341686,train
5214132,train
5027581,train
5366927,train
5054259,train
5341513,validation
5355001,train
5347863,train
5367977,train
5184851,validation
5297848,train
5027923,validation
5080239,train
5189173,validation
5148323,train
5080456,train
7085827,train
5341658,train
5174379,train
5415383,train
5353281,train
5072654,validation
5197315,validation
5379182,train
5349970,train
5027943,train
5030541,validation
5341626,train
5363268,train
5342454,train
5375959,validation
5153091,train
5060609,train
5032086,train
5178937,train
5077151,train
5351115,train
5022721,train
5197095,train
5165510,train
5213011,validation
5197325,train
5058061,train
5416246,validation
5164334,train
5172204,train
5354097,train
5196889,train
5377550,validation
5147870,train
5375997,train
5080630,train
5025494,train
5030977,train
5147731,train
5308156,train
5156728,train
5076904,train
5030125,validation
5181078,train
5196887,train
5206042,train
5028572,train
5077494,train
5181295,train
5058710,validation
5177172,train
5028727,train
5174592,train
5216089,train
5085475,validation
5380373,train
5178834,validation
5378517,validation
5061109,validation
5025339,train
5028019,train
5149462,validation
5181219,train
5416039,train
5369720,train
5298554,train
5028935,train
5172156,train
5060659,validation
5189035,train
5060863,train
5058375,train
5624994,train
5176224,train
5165561,train
5077469,train
5026055,train
5197090,train
5148067,validation
5077076,train
5299124,train
5148777,train
5197273,validation
5215429,train
5351047,train
5029089,validation
5170207,train
5307716,train
5080211,train
5206148,train
5174422,validation
5179022,train
5375039,validation
5189217,train
5198026,validation
5181336,train
5300688,train
5084784,train
5054435,train
5177216,train
5189078,train
5153748,train
5083518,train
5179320,train
5212896,train
5165593,train
5060363,train
5356549,train
5379672,train
5057880,train
5185175,validation
5185178,train
5088654,train
5148908,validation
5030127,train
5185103,train
5026309,train
5379352,train
5027898,validation
5342310,train
5149104,train
5364859,train
5341507,train
5179296,train
5022883,validation
5080600,train
5417090,train
5350521,train
5165500,validation
5148167,train
5080463,train
5083527,train
5080367,train
5164375,train
5365867,validation
5164778,train
5026322,train
5184955,train
5368792,train
5030291,train
5179166,train
5266504,train
5354114,train
5375122,train
5172057,train
5214882,train
5181158,validation
5181091,train
5077155,train
5028749,validation
5060760,train
5185129,train
5366502,train
5421063,validation
5417943,validation
5341630,train
5059106,train
5028055,train
5148213,train
5218210,train
5057618,train
5415983,validation
5030243,train
5375759,train
5177326,train
5196871,train
5415978,train
5177072,train
5178976,validation
5161375,train
5147626,validation
5076980,train
5060764,train
5176251,train
5023916,train
5030250,train
5197043,train
5057802,validation
5174444,train
5299206,train
5174206,train
5076886,train
5377338,train
5149305,train
5205894,validation
5308211,train
5080390,train
5074868,train
5088756,validation
5087315,train
5031403,train
5074899,train
5174141,train
5153527,train
5154153,train
5087970,train
5148260,validation
5342050,validation
5266815,train
5349422,train
5179106,train
5035472,train
5415925,train
5028611,train
5197146,train
5074902,train
5058970,train
5149536,validation
5087368,validation
5074914,train
5149114,train
5154504,train
5027777,train
5023854,train
5266525,train
5172298,train
5028865,train
5216614,train
5297937,validation
5154140,train
5075063,train
5420487,train
7085625,train
5303283,train
5147833,validation
5022973,validation
5060546,train
5149081,train
5188946,train
5084918,train
5074859,train
5029894,train
5030310,validation
5365801,train
5054247,train
5178882,train
5057845,train
5030058,train
5164482,train
5214514,train
5181016,train
5184950,validation
5267186,train
5087414,train
5080304,train
5185375,train
5057363,train
5171971,train
5266496,train
5179282,train
5215781,train
5181050,train
5197128,train
5377213,train
5377158,train
5342320,train
5354162,train
5080204,train
5299262,train
5148602,train
5077181,train
5415302,train
5057624,train
5344576,train
5299852,train
5205982,train
5157577,train
5080319,train
5313492,validation
5181408,train
5027895,train
5072772,train
5289914,train
5077467,validation
5375993,train
5344307,train
5376281,train
5166275,train
5054284,train
5030983,train
5153335,train
5080161,validation
5218838,train
5054277,train
5183873,train
5156606,train
5266648,validation
5026223,train
5213080,train
5352610,train
5174433,train
5206016,validation
5176203,validation
5189287,train
5354979,validation
5066536,train
5213065,train
5355307,validation
5214136,validation
5370112,validation
5026332,train
5355858,train
5297547,train
5154521,validation
5218975,train
5184829,train
5148490,train
5149533,train
5178900,train
5077274,train
5177335,train
5035631,train
5358374,train
5161754,train
5060077,train
5087493,train
5027371,train
5073156,validation
5381809,train
5029630,train
5179350,train
5188957,validation
5165523,validation
5077074,train
5179294,train
5214209,train
5179440,validation
5216930,train
5060991,train
5298090,validation
5156817,train
5172381,train
5183825,train
5185006,train
5080601,train
5181036,train
5084329,train
5057780,train
5174112,train
5298687,validation
5028800,train
5024988,validation
5366942,train
5420687,validation
5189108,validation
5363140,train
5189172,train
5027879,train
5307339,train
5075147,train
5164351,train
5026241,train
5201746,train
5266293,train
5172401,validation
5085749,train
5214155,validation
5179227,train
5077301,train
5077412,train
5367813,train
5074960,train
5174332,train
5061546,train
5176225,validation
5355024,train
5077338,train
5087472,train
5172399,train
5185224,validation
5154241,train
5027997,train
5177100,train
5197131,validation
5026132,train
5058680,train
5214712,train
5176211,train
5363056,train
5149286,validation
5172483,train
5174506,train
5029720,validation
5165538,train
5058953,train
5377279,train
5298527,train
5196981,train
5265422,train
5058093,validation
5197217,train
5307166,train
5161494,train
5161762,train
5196829,train
5301723,train
5077079,train
5059984,train
5205967,train
5205865,train
5029013,train
5197237,validation
5344378,train
5076975,train
5420622,validation
5308147,train
5083565,train
5178935,train
5303423,train
5083562,train
5030509,train
5181286,train
5087239,train
5089344,train
5161658,train
5297995,train
5086427,train
5153753,train
5149408,train
5213112,train
5185147,train
5087236,validation
5072845,train
5313326,train
5161504,validation
5031224,validation
5189263,train
5212960,train
5185122,validation
5313122,train
5054317,validation
5059303,train
5023193,train
5415126,train
5189059,train
5054431,train
5299036,train
5172326,train
5179316,train
5307255,train
5351719,train
5179163,validation
5077309,train
5085177,train
5025588,train
5084610,train
5025587,validation
5172017,train
5080137,train
5072005,train
5206330,validation
5185168,train
5214092,train
5083569,validation
5299313,validation
5031609,train
5206333,train
5181157,train
5415641,train
5196803,validation
5162299,validation
5302814,train
5298342,validation
5027802,train
5172531,validation
5172403,train
5058732,train
5029872,train
5177273,train
5172211,train
5416202,train
5415953,train
5185156,train
5354275,train
5080436,train
5153970,train
5298136,train
5375546,train
5166361,train
5164769,validation
5172010,train
5415629,train
5363134,train
5172453,validation
5352149,train
5302851,train
5031707,train
5153754,validation
5083471,train
5074965,train
5179393,train
5344279,train
5375492,train
5032391,validation
5087160,train
5279728,train
5060822,train
5179178,train
5265515,train
5351356,train
5213087,train
5365569,validation
5266283,train
5196843,train
5184993,validation
5366151,validation
5344553,train
5080446,train
5035236,train
5031880,train
5080425,train
5154377,train
5181233,train
5367782,train
5172191,train
5161616,train
5200530,train
5087360,train
5072554,validation
5420762,train
5308053,train
5349872,train
5027771,train
6983620,train
5376209,train
5174550,train
5084551,train
5179049,train
5080366,train
5303142,train
5076881,train
5148040,train
5181376,train
5185325,validation
5375871,train
5303127,train
5189141,train
5181049,validation
5188862,train
5089496,train
5153263,train
5172451,train
5066739,train
5075127,train
5149475,train
5179218,train
5176202,validation
5377373,train
5027925,train
5087189,train
5351124,validation
5313177,validation
5171991,train
6501962,train
5024030,train
5034908,train
5179014,train
5298507,validation
5298779,train
5029159,train
5087233,train
5060997,train
5080369,train
5177224,train
5366972,validation
5299154,validation
5087261,train
5086993,train
5342433,train
5054253,validation
5054382,validation
5023364,train
5355344,train
5076847,validation
5148550,train
5214172,train
5178974,train
5166259,validation
5214994,train
5213149,train
5085152,train
5299926,train
5376102,validation
5087123,train
5217138,train
5265546,validation
5196876,train
5267646,train
5080628,validation
5148229,train
5023806,train
5061122,train
5059742,validation
5031823,train
5149158,validation
5172076,validation
5164396,train
5076974,validation
5344514,train
5185410,train
5080723,train
5378032,train
5354942,train
5185063,validation
5308278,train
5057402,validation
5188992,train
5420548,train
5148759,train
5074833,train
5308407,train
5165558,train
5177317,train
5172256,train
5379013,train
5352361,train
5348215,train
5153252,train
5215203,train
5214563,train
5165717,train
5172154,validation
5147747,train
5087151,train
5085105,train
5061280,train
5174144,validation
5026252,train
5307402,train
5077131,train
5313365,validation
5027721,train
5027605,train
5218413,validation
5188952,train
5177385,train
5181235,validation
5026317,train
5188856,train
5178926,train
5266603,train
5179317,train
5178881,train
5415605,train
5266353,train
5057483,train
5354438,train
5172316,train
5354601,train
5153649,train
5185214,train
5149125,train
AAAXMP138200000886942144_OR,train
AAAXMP138200001296752144_OR,train
AAAXMP138200001723212144_OR,validation
AAAXMP138200000908272144_OR,validation
AAAXMP138200001663682144_OR,train
AAAXMP138200001544202144_OR,train
AAAXMP138200002010242144_OR,train
AAAXMP138200000983902144_OR,validation
AAAXMP138200000967362144_OR,train
AAAXMP138200001200942144_OR,train
AAAXMP138200001104192144_OR,train
AAAXMP138200002142212144_OR,train
AAAXMP138200001765472144_OR,train
AAAXMP138200001122602144_OR,train
AAAXMP138200000575912144_OR,train
AAAXMP138200000932562144_OR,train
AAAXMP138200000987102144_OR,validation
AAAXMP138200001315512144_OR,validation
AAAXMP138200001549072144_OR,train
AAAXMP138200000792352144_OR,train
AAAXMP138200000983492144_OR,validation
AAAXMP138200002145722144_OR,train
AAAXMP138200000972242144_OR,train
AAAXMP138200001836302144_OR,train
AAAXMP138200001089572144_OR,validation
AAAXMP138200001051762144_OR,train
AAAXMP138200001011982144_OR,train
AAAXMP138200000986622144_OR,train
AAAXMP138200000793832144_OR,train
AAAXMP138200001527622144_OR,train
AAAXMP138200001940662144_OR,train
AAAXMP138200001750622144_OR,train
AAAXMP138200000987282144_OR,validation
AAAXMP138200000925192144_OR,validation
AAAXMP138200001412742144_OR,train
